"Task Start Time","Task End Time","Delta Time"
10:10:18:056","10:10:20:076","00:00:02.0205648"
10:10:20:514","10:10:22:163","00:00:01.6492021"
10:10:23:314","10:10:26:832","00:00:03.5179653"
10:10:27:399","10:10:29:376","00:00:01.9774127"
10:10:29:834","10:10:31:521","00:00:01.6869819"
10:10:31:941","10:10:33:562","00:00:01.6209241"
10:10:34:035","10:10:35:764","00:00:01.7293881"
10:10:36:204","10:10:38:088","00:00:01.8840863"
10:10:39:268","10:10:41:430","00:00:02.1625510"
10:10:42:237","10:10:44:284","00:00:02.0465716"
10:10:44:893","10:10:47:074","00:00:02.1806042"
10:10:47:591","10:10:50:082","00:00:02.4908266"
10:10:50:846","10:10:53:123","00:00:02.2765200"
10:10:53:911","10:10:56:128","00:00:02.2169229"
10:10:56:958","10:10:59:238","00:00:02.2794025"
10:10:59:935","10:11:02:745","00:00:02.8100434"
