"Time Stamp","V_Local(cm3)","V_Remote(cm3)","V_Union(cm3)","V_Intersection(cm3)","Intersection (%)"
18:25:04:843","7.431355","7.43166","7.431355","7.43166","100.0"
18:25:09:472","13.10205","13.10207","13.10205","13.10207","100.0"
18:25:14:196","11.12793","11.12789","11.12793","11.12789","100.0"
18:25:19:902","6.116298","6.116308","6.116298","6.116308","100.0"
18:25:24:594","24.40655","24.40499","24.40655","24.40499","100.0"
18:25:28:737","5.007486","5.007505","5.007486","5.007505","100.0"
18:25:32:952","3.696115","3.695487","3.696115","3.695487","100.0"
18:25:36:633","6.482962","6.481772","6.482962","6.481772","100.0"
18:25:40:285","6.194226","6.195627","6.194226","6.195627","100.0"
18:25:45:401","12.69139","12.6915","12.69139","12.6915","100.0"
18:25:48:525","4.265843","4.267479","4.265843","4.267479","100.0"
18:25:53:198","14.90382","14.90323","14.90382","14.90323","100.0"
18:25:59:451","3.89728","3.898946","3.89728","3.898946","100.0"
18:26:03:605","17.46849","17.46541","17.46849","17.46541","100.0"
18:26:07:781","4.346621","4.3457","4.346621","4.3457","100.0"
