"Time Stamp","V_Local(cm3)","V_Remote(cm3)","V_Union(cm3)","V_Intersection(cm3)","Intersection (%)"
10:10:20:463","5.176447","5.176289","5.176447","5.176289","100.0"
10:10:22:542","5.953159","5.953043","5.953159","5.953043","100.0"
10:10:24:637","4.603285","4.603408","4.603285","4.603408","100.0"
10:10:27:200","5.649496","5.64915","5.649496","5.64915","100.0"
10:10:29:809","2.999957","3.000726","2.999957","3.000726","100.0"
10:10:31:853","6.277434","6.28053","6.277434","6.28053","100.0"
10:10:33:930","2.066357","2.066303","2.066357","2.066303","100.0"
10:10:35:962","4.67103","4.670565","4.67103","4.670565","100.0"
10:10:38:559","5.497704","5.497532","5.497704","5.497532","100.0"
10:10:41:623","10.7276","10.72851","10.7276","10.72851","100.0"
10:10:44:755","16.96754","16.96849","16.96754","16.96849","100.0"
10:10:47:339","7.027518","7.025199","7.027518","7.025199","100.0"
10:10:50:475","10.87176","10.87095","10.87176","10.87095","100.0"
10:10:53:598","5.302096","5.303262","5.302096","5.303262","100.0"
10:10:56:194","18.9754","18.97166","18.9754","18.97166","100.0"
10:10:59:274","5.590709","5.591519","5.590709","5.591519","100.0"
