"Time Stamp","Local_HMD_p_x","Local_HMD_p_y","Local_HMD_p_z","Local_HMD_r_x","Local_HMD_r_y","Local_HMD_r_z","Local_HMD_r_w","Local_Right_p_x","Local_Right_p_y","Local_Right_p_z","Local_Right_r_x","Local_Right_r_y","Local_Right_r_z","Local_Right_r_w","Local_Left_p_x","Local_Left_p_y","Local_Left_p_z","Local_Left_r_x","Local_Left_r_y","Local_Left_r_z","Local_Left_r_w","Local_FingertipR_p_x","Local_FingertipR_p_y","Local_FingertipR_p_z","Local_FingertipR_r_x","Local_FingertipR_r_y","Local_FingertipR_r_z","Local_FingertipR_r_w","Local_FingertipL_p_x","Local_FingertipL_p_y","Local_FingertipL_p_z","Local_FingertipL_r_x","Local_FingertipL_r_y","Local_FingertipL_r_z","Local_FingertipL_r_w","
16:09:29:525","-0.16","0","0.17","0","0","0","1","-0.1042","-0.0157","0.0613","0","0","0","1","-0.2158","-0.0157","0.0613","0","0","0","1","0.8876261","1.385232","-0.525043","-0.4948052","-0.4958405","0.5051601","-0.5041065","-0.8875526","1.383611","-0.5284559","0.4900758","-0.4930298","0.5098298","0.506775"
16:09:29:583","-0.16","0","0.17","0","0","0","1","-0.1042","-0.0157","0.0613","0","0","0","1","-0.2158","-0.0157","0.0613","0","0","0","1","0.7276251","-0.249703","0.09790261","-0.4948052","-0.4958405","0.5051601","-0.5041065","-1.047554","-0.2513235","0.09448972","0.4900758","-0.4930298","0.5098298","0.506775"
16:09:30:298","-0.1595738","1.49056","0.4790475","0.1199315","0.1716727","0.03054909","-0.9773493","-0.6052393","0.9915187","1.064341","0.3509876","0.6979728","-0.549276","0.2965428","-0.6064103","0.9424255","0.8570784","-0.6457028","0.01961371","0.09563407","-0.7573225","0.6836871","-0.249703","0.3998888","-0.5742481","-0.4018441","0.4126233","-0.5818097","-0.9855077","-0.2513235","-0.2043124","0.3951817","-0.5727766","0.5864573","0.4145193"
16:09:30:547","-0.1675772","1.489924","0.4802642","0.1182917","0.1705539","0.03093684","-0.9777328","-0.6052313","0.9915178","1.0643","0.3509736","0.6978607","-0.5493956","0.2966016","-0.6063952","0.94229","0.8569054","-0.6457019","0.0195077","0.09544259","-0.7573501","-0.09952834","1.393106","0.6826127","-0.2979725","0.1212037","-0.9435408","0.0790786","-0.4264862","1.421921","0.7099717","0.7381638","0.01847573","0.6578543","0.1483269"
16:09:30:598","-0.170829","1.491292","0.480682","0.1202651","0.1663509","0.03415335","-0.9781091","-0.6052271","0.9915189","1.064293","0.3509751","0.6978354","-0.5494265","0.296602","-0.6067426","0.9422362","0.8570518","-0.646058","0.01868003","0.09454586","-0.7571797","-0.2717823","0.9026968","0.7278565","-0.3011965","0.1213216","-0.9425425","0.07858446","-0.564321","0.8161331","0.8129751","0.7403843","0.01914519","0.6553797","0.148129"
16:09:30:625","-0.1750055","1.493044","0.4813447","0.1216846","0.1621384","0.03629507","-0.9785636","-0.6052209","0.9915223","1.064301","0.3510048","0.697845","-0.5494102","0.2965745","-0.6068364","0.9422179","0.8571033","-0.646165","0.01843236","0.09425763","-0.7571306","-0.27411","0.9033883","0.7291057","-0.301111","0.1212868","-0.9425758","0.07856743","-0.5650046","0.8155615","0.816722","0.7403735","0.01972495","0.6556272","0.1470091"
16:09:30:651","-0.1770128","1.493723","0.4819042","0.1220226","0.1609963","0.03645806","-0.978704","-0.6052147","0.9915255","1.064306","0.3510301","0.6978499","-0.5494016","0.296549","-0.6067778","0.942215","0.8570853","-0.6461242","0.01850873","0.09436247","-0.7571504","-0.2794909","0.9040486","0.7287543","-0.2978941","0.1210597","-0.9435934","0.07896406","-0.5705179","0.815007","0.8167484","0.7381425","0.01941323","0.6582088","0.1467314"
16:09:30:677","-0.1801433","1.494887","0.4827896","0.1228082","0.1590608","0.03661127","-0.9789165","-0.6052151","0.9915249","1.064302","0.3510251","0.6978399","-0.5494124","0.2965584","-0.6065987","0.9422749","0.8570508","-0.6459527","0.01896407","0.09480939","-0.7572296","-0.2797444","0.9032998","0.7301565","-0.2986572","0.1211559","-0.9433495","0.07884711","-0.5690652","0.8134959","0.8191025","0.7386814","0.01947282","0.6575791","0.1468356"
16:09:30:706","-0.1824115","1.495613","0.4837015","0.1227316","0.1577208","0.03587099","-0.9791703","-0.6052191","0.9915217","1.064288","0.3509926","0.6978108","-0.5494532","0.2965897","-0.6063668","0.9423028","0.8569335","-0.6456901","0.01949557","0.09541994","-0.7573634","-0.2828195","0.9038551","0.7307987","-0.2979856","0.1210822","-0.9435645","0.07893012","-0.5721946","0.8135244","0.820484","0.7381691","0.01904263","0.6580355","0.1474238"
16:09:30:731","-0.1857793","1.496682","0.4848096","0.1219491","0.1557052","0.03515615","-0.9796164","-0.6052216","0.9915195","1.064276","0.3509728","0.6977867","-0.5494819","0.296617","-0.6062711","0.9422352","0.8568043","-0.6456486","0.01964394","0.09553409","-0.7573805","-0.2837254","0.9036189","0.7319425","-0.2986745","0.1210724","-0.9433554","0.07883994","-0.5722811","0.8126758","0.822741","0.7386224","0.01877848","0.657365","0.148175"
